freq,unit,nace_r2,s_adj,na_item,geo\TIME_PERIOD	2000-Q1 	2000-Q2 	2000-Q3 	2000-Q4 	2001-Q1 	2001-Q2 	2001-Q3 	2001-Q4 	2002-Q1 	2002-Q2 	2002-Q3 	2002-Q4 	2003-Q1 	2003-Q2 	2003-Q3 	2003-Q4 	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 	2024-Q3 	2024-Q4 
Q,I15_HW,A,SCA,EMP_DC,AT	158.7 	157.1 	153.7 	157.3 	160.0 	151.7 	148.6 	148.2 	154.5 	151.1 	147.8 	143.9 	152.0 	147.2 	144.4 	150.0 	140.0 	143.1 	148.4 	146.1 	139.3 	140.7 	141.0 	144.1 	137.4 	138.1 	137.1 	133.9 	135.7 	134.8 	131.8 	126.8 	129.9 	127.5 	126.3 	122.8 	118.5 	121.0 	122.1 	121.4 	115.5 	117.7 	118.2 	116.2 	127.3 	121.7 	116.3 	117.5 	113.9 	110.3 	107.5 	104.0 	101.6 	105.2 	105.7 	104.3 	108.2 	102.4 	103.1 	105.8 	103.0 	101.2 	101.6 	94.2 	97.8 	98.4 	100.3 	100.8 	106.4 	97.0 	93.5 	94.8 	95.1 	95.9 	93.2 	94.2 	92.8 	91.3 	91.2 	90.9 	96.5 	97.3 	100.0 	94.5 	98.2 	97.7 	98.3 	95.7 	97.8 	96.2 	92.4 	94.3 	89.4 	91.3 	83.2 	84.6 	86.5 	81.6 	83.1 	85.3 
Q,I15_HW,A,SCA,EMP_DC,BE	104.6 	103.2 	104.5 	101.8 	98.1 	98.9 	99.3 	93.8 	102.3 	103.7 	102.1 	105.4 	104.2 	99.7 	101.5 	96.7 	100.8 	99.3 	99.8 	100.0 	98.4 	101.7 	99.6 	101.5 	99.9 	105.0 	104.0 	110.8 	105.1 	101.6 	105.4 	98.7 	101.6 	98.4 	94.5 	96.3 	98.8 b	100.1 	102.3 	101.9 	99.8 	102.9 	101.7 	101.7 	105.4 	104.9 	103.2 	95.9 	98.3 	95.5 	94.3 	96.1 	95.0 	95.6 	93.4 	103.2 	101.0 	99.8 	99.5 	97.1 	97.5 	98.8 	100.7 	102.9 	102.7 	103.9 	103.5 	106.8 	106.1 	106.2 	106.6 	101.9 	104.0 	106.6 	110.3 	105.2 	106.8 	106.4 	107.2 	110.2 	107.6 	107.7 	113.1 	107.5 	111.3 	108.9 	103.2 	109.7 	109.5 	108.7 	107.4 	103.6 	103.0 	101.5 	101.4 	102.5 	101.6 p	102.0 p	102.3 p	103.8 p
Q,I15_HW,A,SCA,EMP_DC,BG	115.7 b	116.5 	116.1 	114.4 	114.7 	112.2 	111.8 	112.5 	112.6 	112.4 	111.9 	111.7 	112.7 	113.4 	115.2 	116.6 	116.0 	117.1 	116.3 	115.8 	115.4 	114.7 	114.5 	114.2 	113.6 	113.4 	112.9 	112.5 	112.2 	111.8 	111.6 	111.8 	112.3 	113.0 	113.7 	114.0 	114.3 	113.7 	112.3 	111.8 	110.2 	109.3 	109.0 	106.9 	106.5 	106.6 	104.9 	104.3 	102.2 	99.5 	99.6 	99.9 	99.8 	101.3 	100.9 	100.3 	101.6 	101.6 	102.6 	102.1 	101.3 	100.2 	99.1 	99.4 	98.7 	99.3 	89.8 	98.7 	101.2 	101.2 	101.4 	101.3 	98.8 	97.0 	94.7 	91.2 	88.7 	86.6 	84.9 	85.2 	85.3 	87.7 	85.9 	83.4 	81.4 	81.3 	80.7 	80.3 	79.6 	78.6 	78.1 	77.4 	76.6 	76.0 	76.3 	75.3 	74.4 	72.6 	70.4 	69.5 
Q,I15_HW,A,SCA,EMP_DC,CH	107.8 e	109.8 e	111.2 e	111.8 e	106.5 e	105.2 e	106.5 e	105.0 e	101.5 e	105.4 e	103.4 e	101.4 e	102.0 e	98.7 e	98.1 e	99.2 e	100.6 e	98.5 e	96.8 e	96.1 e	95.1 e	97.7 e	98.6 e	97.1 e	101.8 e	103.1 e	104.3 e	105.7 e	105.3 e	104.6 e	105.8 e	105.2 e	94.6 e	96.1 e	96.8 e	95.4 e	97.1 e	94.6 e	92.1 e	93.2 e	101.8 e	96.4 e	102.6 e	101.6 e	102.1 e	104.6 e	96.1 e	101.4 e	102.1 e	100.8 e	97.8 e	98.9 e	97.3 e	99.5 e	105.3 e	105.3 e	108.7 e	102.4 e	100.6 e	100.8 e	101.0 e	101.1 e	98.4 e	99.5 e	100.6 e	99.5 e	96.9 e	94.7 e	94.8 e	94.3 e	97.7 e	96.5 e	91.3 e	100.1 e	89.4 e	90.4 e	95.6 e	81.2 e	77.8 e	78.2 e	80.8 e	85.9 e	85.2 e	77.5 e	76.3 e	78.6 e	79.1 e	74.4 e	72.6 e	73.1 e	73.3 e	77.7 e	79.9 e	71.8 e	79.6 e	78.7 e	77.0 e	75.5 e	73.6 e	76.3 e
Q,I15_HW,A,SCA,EMP_DC,CY	141.3 	143.7 	147.3 	145.1 	137.7 	139.4 	134.6 	134.9 	134.9 	137.5 	137.6 	136.6 	135.7 	131.2 	134.6 	133.8 	136.3 	131.0 	125.2 	121.0 	118.1 	120.5 	121.2 	125.3 	105.1 	104.4 	98.5 	102.7 	104.7 	110.2 	110.9 	117.2 	109.9 	107.3 	110.7 	111.5 	111.1 	113.8 	109.8 	107.2 	106.9 	106.3 	110.3 	113.3 	114.5 	112.7 	109.0 	106.2 	105.3 	105.0 	100.6 	99.6 	100.6 	99.9 	100.7 	109.1 	99.4 	101.3 	102.4 	101.8 	100.3 	99.9 	100.6 	99.3 	101.8 	101.8 	102.3 	103.7 	101.6 	102.3 	99.9 	98.2 	96.4 	93.4 	94.2 	95.7 	97.9 	96.8 	97.4 	96.9 	96.6 	97.9 	97.3 	97.1 	97.2 	98.7 	98.3 	98.6 	98.8 	99.1 	99.1 	99.3 	99.4 	99.5 	99.9 	100.1 	100.4 	101.0 	101.2 	101.5 
Q,I15_HW,A,SCA,EMP_DC,CZ	142.9 	146.2 	148.3 	148.6 	143.1 	140.6 	139.4 	133.5 	120.1 	117.9 	115.8 	114.6 	116.3 	113.0 	114.7 	111.8 	113.5 	116.8 	114.0 	113.0 	111.0 	111.3 	109.3 	108.1 	106.3 	104.6 	105.4 	107.0 	105.4 	104.7 	106.0 	104.1 	105.0 	105.0 	104.2 	103.7 	104.4 	102.9 	100.2 	103.1 	96.3 	96.0 	97.3 	95.0 	102.7 	102.6 	102.6 	102.5 	101.5 	100.5 	97.0 	98.1 	100.3 	103.5 	101.3 	104.0 	101.6 	98.2 	102.9 	104.5 	99.7 	101.4 	101.0 	97.9 	98.6 	101.6 	97.0 	100.0 	99.9 	101.1 	102.3 	100.4 	101.6 	103.6 	104.4 	102.0 	97.8 	96.2 	94.8 	95.7 	88.1 	87.8 	95.4 	91.4 	93.6 	91.3 	91.6 	93.5 	96.3 	95.6 	96.6 	95.6 	94.2 	94.6 	93.6 	94.9 	96.4 	95.8 	93.6 	95.5 
Q,I15_HW,A,SCA,EMP_DC,DE	141.9 	140.5 	139.3 	137.5 	134.7 	132.7 	131.7 	130.3 	128.8 	128.7 	127.5 	125.5 	124.5 	124.4 	123.9 	121.7 	121.0 	121.5 	121.1 	117.4 	118.8 	115.0 	114.4 	115.7 	113.9 	112.8 	112.9 	114.1 	113.8 	113.4 	113.5 	114.3 	114.4 	112.3 	111.3 	111.1 	111.2 	110.5 	110.1 	109.1 	109.0 	108.0 	108.4 	108.9 	109.2 	109.4 	108.4 	107.8 	107.6 	106.8 	106.2 	105.5 	104.3 	103.8 	104.2 	103.5 	102.9 	102.2 	101.2 	100.6 	100.4 	100.5 	100.0 	99.1 	98.6 	98.3 	97.8 	96.7 	95.5 	94.4 	93.7 	93.4 	92.8 	93.9 	93.0 	92.6 	91.0 	90.4 	90.3 	89.5 	88.1 	85.9 	84.6 	85.8 	87.1 	87.4 	86.3 	86.7 	86.4 p	86.2 p	86.0 p	85.2 p	85.0 p	84.2 p	84.5 p	84.2 p	83.7 p	83.4 p	83.0 p	83.0 p
Q,I15_HW,A,SCA,EMP_DC,DK	157.3 	150.4 	149.8 	147.8 	149.7 	150.6 	144.9 	146.2 	155.0 	148.2 	146.1 	143.4 	144.8 	140.2 	132.7 	131.0 	131.9 	136.2 	138.7 	136.2 	124.6 	131.0 	128.2 	127.8 	119.7 	117.0 	120.4 	123.0 	120.6 	120.1 	117.0 	114.3 	115.2 	113.2 	110.6 	110.3 	107.0 	104.3 	103.4 	102.6 	101.6 	102.2 	102.4 	101.6 	101.9 	100.5 	99.3 	99.6 	100.0 	98.9 	98.3 	97.2 	97.4 	97.2 	97.3 	97.7 	97.8 	98.7 	99.1 	98.6 	100.4 	99.8 	99.8 	100.0 	95.9 	94.5 	93.6 	93.6 	94.5 	95.5 	95.3 	95.6 	94.0 	93.7 	92.0 	91.3 	88.3 	88.3 	87.9 	86.9 	88.2 	87.5 	88.4 	89.0 	92.3 	90.4 	89.5 	88.7 	87.2 	87.4 	88.1 	87.9 	87.9 	89.1 	88.7 	87.9 	88.0 	87.4 	86.8 	87.4 
Q,I15_HW,A,SCA,EMP_DC,EA	135.7 	134.5 	134.4 	133.1 	134.8 	132.8 	131.0 	130.9 	129.4 	129.5 	128.3 	127.3 	126.4 	126.6 	125.6 	125.7 	121.7 	122.7 	123.6 	122.0 	120.4 	121.1 	120.3 	120.1 	119.1 	118.9 	118.3 	118.1 	118.1 	116.8 	115.3 	114.7 	114.2 	111.6 	111.5 	110.7 	109.6 	110.1 	109.8 	109.2 	108.0 	108.1 	107.4 	106.4 	107.3 	105.1 	104.6 	104.9 	104.5 	104.0 	103.0 	102.6 	101.6 	103.3 	103.2 	103.0 	101.8 	101.5 	101.5 	101.9 	99.8 	100.2 	99.9 	100.1 	100.5 	100.6 	100.2 	99.6 	100.3 	99.6 	99.3 	99.1 	99.1 	100.5 	99.6 	98.4 	97.6 	96.0 	95.9 	95.7 	94.3 	90.4 	94.5 	94.1 	95.6 	95.8 	94.3 	94.2 	94.6 	94.5 	94.1 	93.7 	93.2 	92.1 	92.6 	92.9 	92.7 	92.3 	91.6 	91.4 
Q,I15_HW,A,SCA,EMP_DC,EA19	139.7 	138.5 	138.3 	136.9 	137.9 	135.9 	133.8 	133.6 	131.8 	132.9 	131.6 	130.0 	128.5 	129.4 	128.2 	128.0 	124.0 	124.2 	125.2 	123.1 	122.0 	121.9 	121.1 	121.6 	120.3 	120.1 	119.2 	119.5 	117.6 	117.1 	115.4 	114.3 	114.1 	111.0 	111.2 	110.5 	109.2 	109.6 	109.4 	108.9 	107.5 	107.3 	106.7 	105.9 	106.9 	104.6 	104.1 	104.5 	104.1 	103.7 	102.8 	102.2 	101.2 	102.9 	102.8 	102.7 	101.9 	101.4 	101.3 	101.7 	99.8 	100.2 	99.9 	100.1 	100.5 	100.6 	100.2 	99.6 	100.3 	99.6 	99.3 	99.1 	99.1 	100.5 	99.6 	98.4 	97.6 	96.0 	95.9 	95.7 	94.3 	90.4 	94.5 	94.1 	95.6 	95.8 	94.3 	94.2 	94.6 	94.5 	94.1 	93.7 	93.7 	92.7 	93.2 	93.6 	93.3 	92.7 	92.2 	91.9 
