coicopCode,coicopLabel,EU27,Germany
CP04,"Housing, water, electricity, gas and other fuels",12.804761904761904,9.299999999999999
CP07,Transport,10.68095238095238,10.923809523809524
CP01,Food and non-alcoholic beverages,7.542857142857144,8.704761904761904
CP11,Restaurants and hotels,5.59047619047619,5.495238095238095
CP05,"Furnishings, household equipment and routine household maintenance",4.933333333333333,5.1380952380952385
CP02,"Alcoholic beverages, tobacco and narcotics",3.6952380952380954,3.9428571428571426
CP09,Recreation and culture,3.404761904761905,3.657142857142857
CP12,Miscellaneous goods and services,3.0666666666666664,3.0238095238095233
CP03,Clothing and footwear,2.1857142857142855,2.404761904761905
CP06,Health,1.757142857142857,1.0666666666666667
CP10,Education,1.3666666666666667,1.8047619047619048
CP08,Communications,0.004761904761904768,0.15714285714285717
