geo,group5,delta_pp,eu27_delta_pp,value,geo_label,outlier,start_year,end_year,window,window_slug
LU,Bottom 20%,0.8000000000000007,8.881784197001252e-16,0.7999999999999998,Luxembourg (LU),Best 3,2019,2021,COVID,covid
RS,Bottom 20%,0.5000000000000009,8.881784197001252e-16,0.5,Serbia (RS),Best 3,2019,2021,COVID,covid
LT,Bottom 20%,0.5,8.881784197001252e-16,0.4999999999999991,Lithuania (LT),Best 3,2019,2021,COVID,covid
MT,Bottom 20%,-0.8999999999999995,8.881784197001252e-16,-0.9000000000000004,Malta (MT),Worst 3,2019,2021,COVID,covid
EL,Bottom 20%,-0.8000000000000007,8.881784197001252e-16,-0.8000000000000016,Greece (EL),Worst 3,2019,2021,COVID,covid
PT,Bottom 20%,-0.5,8.881784197001252e-16,-0.5000000000000009,Portugal (PT),Worst 3,2019,2021,COVID,covid
CY,Lower-middle 20%,0.3999999999999986,-0.09999999999999964,0.4999999999999982,Cyprus (CY),Best 3,2019,2021,COVID,covid
PL,Lower-middle 20%,0.3999999999999986,-0.09999999999999964,0.4999999999999982,Poland (PL),Best 3,2019,2021,COVID,covid
BG,Lower-middle 20%,0.3000000000000007,-0.09999999999999964,0.40000000000000036,Bulgaria (BG),Best 3,2019,2021,COVID,covid
DE,Lower-middle 20%,-0.9000000000000004,-0.09999999999999964,-0.8000000000000007,Germany (DE),Worst 3,2019,2021,COVID,covid
HU,Lower-middle 20%,-0.5,-0.09999999999999964,-0.40000000000000036,Hungary (HU),Worst 3,2019,2021,COVID,covid
MT,Lower-middle 20%,-0.40000000000000036,-0.09999999999999964,-0.3000000000000007,Malta (MT),Worst 3,2019,2021,COVID,covid
LU,Middle 20%,0.6000000000000014,0.0,0.6000000000000014,Luxembourg (LU),Best 3,2019,2021,COVID,covid
AT,Middle 20%,0.3999999999999986,0.0,0.3999999999999986,Austria (AT),Best 3,2019,2021,COVID,covid
CY,Middle 20%,0.3999999999999986,0.0,0.3999999999999986,Cyprus (CY),Best 3,2019,2021,COVID,covid
DE,Middle 20%,-0.8999999999999986,0.0,-0.8999999999999986,Germany (DE),Worst 3,2019,2021,COVID,covid
MT,Middle 20%,-0.6000000000000014,0.0,-0.6000000000000014,Malta (MT),Worst 3,2019,2021,COVID,covid
CZ,Middle 20%,-0.3999999999999986,0.0,-0.3999999999999986,Czechia (CZ),Worst 3,2019,2021,COVID,covid
CY,Upper-middle 20%,0.7000000000000028,0.0,0.7000000000000028,Cyprus (CY),Best 3,2019,2021,COVID,covid
FR,Upper-middle 20%,0.6000000000000014,0.0,0.6000000000000014,France (FR),Best 3,2019,2021,COVID,covid
LU,Upper-middle 20%,0.6000000000000014,0.0,0.6000000000000014,Luxembourg (LU),Best 3,2019,2021,COVID,covid
LT,Upper-middle 20%,-1.0,0.0,-1.0,Lithuania (LT),Worst 3,2019,2021,COVID,covid
CZ,Upper-middle 20%,-0.5,0.0,-0.5,Czechia (CZ),Worst 3,2019,2021,COVID,covid
MT,Upper-middle 20%,-0.40000000000000213,0.0,-0.40000000000000213,Malta (MT),Worst 3,2019,2021,COVID,covid
MT,Top 20%,2.6000000000000014,0.0,2.6000000000000014,Malta (MT),Best 3,2019,2021,COVID,covid
DE,Top 20%,1.7999999999999972,0.0,1.7999999999999972,Germany (DE),Best 3,2019,2021,COVID,covid
CZ,Top 20%,0.9000000000000057,0.0,0.9000000000000057,Czechia (CZ),Best 3,2019,2021,COVID,covid
LU,Top 20%,-2.200000000000003,0.0,-2.200000000000003,Luxembourg (LU),Worst 3,2019,2021,COVID,covid
CY,Top 20%,-2.0,0.0,-2.0,Cyprus (CY),Worst 3,2019,2021,COVID,covid
PL,Top 20%,-1.3000000000000043,0.0,-1.3000000000000043,Poland (PL),Worst 3,2019,2021,COVID,covid
