geo,group5,delta_pp,eu27_delta_pp,value,geo_label,outlier,start_year,end_year,window,window_slug
RO,Bottom 20%,2.2,0.29999999999999893,1.9000000000000012,Romania (RO),Best 3,2021,2024,Inflation surge,inflation_surge
EL,Bottom 20%,0.8000000000000007,0.29999999999999893,0.5000000000000018,Greece (EL),Best 3,2021,2024,Inflation surge,inflation_surge
ES,Bottom 20%,0.6999999999999993,0.29999999999999893,0.40000000000000036,Spain (ES),Best 3,2021,2024,Inflation surge,inflation_surge
LT,Bottom 20%,-0.5999999999999996,0.29999999999999893,-0.8999999999999986,Lithuania (LT),Worst 3,2021,2024,Inflation surge,inflation_surge
FI,Bottom 20%,-0.5,0.29999999999999893,-0.7999999999999989,Finland (FI),Worst 3,2021,2024,Inflation surge,inflation_surge
FR,Bottom 20%,-0.5,0.29999999999999893,-0.7999999999999989,France (FR),Worst 3,2021,2024,Inflation surge,inflation_surge
RO,Lower-middle 20%,1.8000000000000007,0.1999999999999993,1.6000000000000014,Romania (RO),Best 3,2021,2024,Inflation surge,inflation_surge
LV,Lower-middle 20%,0.6000000000000014,0.1999999999999993,0.40000000000000213,Latvia (LV),Best 3,2021,2024,Inflation surge,inflation_surge
ES,Lower-middle 20%,0.5,0.1999999999999993,0.3000000000000007,Spain (ES),Best 3,2021,2024,Inflation surge,inflation_surge
AT,Lower-middle 20%,-0.40000000000000036,0.1999999999999993,-0.5999999999999996,Austria (AT),Worst 3,2021,2024,Inflation surge,inflation_surge
DK,Lower-middle 20%,-0.3000000000000007,0.1999999999999993,-0.5,Denmark (DK),Worst 3,2021,2024,Inflation surge,inflation_surge
BE,Lower-middle 20%,-0.29999999999999893,0.1999999999999993,-0.4999999999999982,Belgium (BE),Worst 3,2021,2024,Inflation surge,inflation_surge
RO,Middle 20%,0.8000000000000043,0.0,0.8000000000000043,Romania (RO),Best 3,2021,2024,Inflation surge,inflation_surge
LV,Middle 20%,0.5,0.0,0.5,Latvia (LV),Best 3,2021,2024,Inflation surge,inflation_surge
CZ,Middle 20%,0.49999999999999645,0.0,0.49999999999999645,Czechia (CZ),Best 3,2021,2024,Inflation surge,inflation_surge
DK,Middle 20%,-0.5,0.0,-0.5,Denmark (DK),Worst 3,2021,2024,Inflation surge,inflation_surge
BE,Middle 20%,-0.30000000000000426,0.0,-0.30000000000000426,Belgium (BE),Worst 3,2021,2024,Inflation surge,inflation_surge
AT,Middle 20%,-0.29999999999999716,0.0,-0.29999999999999716,Austria (AT),Worst 3,2021,2024,Inflation surge,inflation_surge
LT,Upper-middle 20%,1.0,-0.09999999999999787,1.0999999999999979,Lithuania (LT),Best 3,2021,2024,Inflation surge,inflation_surge
BG,Upper-middle 20%,0.4000000000000057,-0.09999999999999787,0.5000000000000036,Bulgaria (BG),Best 3,2021,2024,Inflation surge,inflation_surge
SI,Upper-middle 20%,0.40000000000000213,-0.09999999999999787,0.5,Slovenia (SI),Best 3,2021,2024,Inflation surge,inflation_surge
EL,Upper-middle 20%,-0.9000000000000021,-0.09999999999999787,-0.8000000000000043,Greece (EL),Worst 3,2021,2024,Inflation surge,inflation_surge
RO,Upper-middle 20%,-0.7000000000000028,-0.09999999999999787,-0.600000000000005,Romania (RO),Worst 3,2021,2024,Inflation surge,inflation_surge
AT,Upper-middle 20%,-0.5999999999999979,-0.09999999999999787,-0.5,Austria (AT),Worst 3,2021,2024,Inflation surge,inflation_surge
AT,Top 20%,1.5,-0.5,2.0,Austria (AT),Best 3,2021,2024,Inflation surge,inflation_surge
DK,Top 20%,1.5,-0.5,2.0,Denmark (DK),Best 3,2021,2024,Inflation surge,inflation_surge
CY,Top 20%,0.7000000000000028,-0.5,1.2000000000000028,Cyprus (CY),Best 3,2021,2024,Inflation surge,inflation_surge
RO,Top 20%,-3.9000000000000057,-0.5,-3.4000000000000057,Romania (RO),Worst 3,2021,2024,Inflation surge,inflation_surge
LV,Top 20%,-1.4000000000000057,-0.5,-0.9000000000000057,Latvia (LV),Worst 3,2021,2024,Inflation surge,inflation_surge
CZ,Top 20%,-1.3000000000000043,-0.5,-0.8000000000000043,Czechia (CZ),Worst 3,2021,2024,Inflation surge,inflation_surge
