naceCode,sectorLabel,eu27Mean,deMean,deMinusEu27
J,Information and communication,118.175,112.8,-5.375
F,Construction,107.675,102.1375,-5.537499999999994
M_N,"Professional, scientific and technical activities; administrative and support service activities",106.3875,98.8625,-7.525000000000006
L,Real estate activities,105.225,101.0625,-4.162499999999994
O-Q,"Public administration, defence, education, human health and social work activities",104.3625,105.6625,1.2999999999999972
B-E,Industry (except construction),98.825,95.375,-3.450000000000003
C,Manufacturing,98.525,94.7625,-3.762500000000003
K,Financial and insurance activities,97.75,88.85000000000001,-8.899999999999991
R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",96.4375,93.8125,-2.625
G-I,Wholesale and retail trade; transport; accommodation and food service activities,95.675,94.2125,-1.4624999999999915
A,"Agriculture, forestry and fishing",88.875,86.4875,-2.387500000000003
