naceCode,sectorLabel,eu27Mean,deMean,deMinusEu27
J,Information and communication,135.30833333333334,123.40833333333335,-11.899999999999991
M_N,"Professional, scientific and technical activities; administrative and support service activities",118.25,104.00833333333333,-14.241666666666674
F,Construction,116.61666666666667,102.875,-13.741666666666674
L,Real estate activities,116.58333333333333,112.24166666666667,-4.341666666666654
O-Q,"Public administration, defence, education, human health and social work activities",109.625,108.81666666666666,-0.8083333333333371
G-I,Wholesale and retail trade; transport; accommodation and food service activities,106.5,98.61666666666667,-7.883333333333326
R-U,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",106.2,97.68333333333334,-8.516666666666666
B-E,Industry (except construction),102.27499999999999,95.48333333333333,-6.791666666666657
C,Manufacturing,102.15833333333335,94.64166666666667,-7.51666666666668
K,Financial and insurance activities,100.03333333333335,88.33333333333333,-11.700000000000017
A,"Agriculture, forestry and fishing",86.30833333333334,84.56666666666668,-1.74166666666666
