geo,gbt_mean_yProb,ens_mean_yProb
EE,0.8992522916569937,0.4504684331776409
RO,0.8932454886327457,0.46146146409014976
NL,0.8904822495621938,0.45168332097975156
RS,0.8900221790379989,0.4503435922740477
HR,0.8860084822612887,0.44403967535486083
PL,0.8761171593260897,0.4466584781001124
HU,0.8760342419031415,0.43845037618634825
BE,0.8233704955288454,0.49284583440842156
EL,0.8156999039677659,0.40942380121823657
SK,0.8090949798062306,0.40556062108176144
CZ,0.5276076471756149,0.26413194054833633
EU27_2020,0.3951128120577561,0.19793552043937757
ES,0.2245676040944157,0.11252656740498557
NO,0.21309482897765875,0.10662951848997558
PT,0.20185846795604875,0.1026363974707073
MT,0.14859237915078824,0.07480576677822716
AT,0.1375705612331354,0.06888060164668365
BG,0.11635635570958124,0.05839306431468914
DE,0.09894079311630358,0.04982788939837224
EA20,0.09005669256981345,0.04530102829597285
FR,0.085197739229389,0.04288710195159992
CY,0.07905659286548766,0.040018619017353374
LU,0.043843698087558065,0.021984591476791167
SE,0.01457066474737685,0.00730347084180991
LT,0.013340892111880024,0.006671896261294328
IE,0.013206327006639085,0.006616139893393425
SI,0.01260726987537108,0.006312519546813029
LV,0.012517902581882678,0.0062886922981651135
DK,0.011509244007007284,0.005835813865196688
IT,0.010234212960964183,0.005169020929849378
CH,0.008974904725341364,0.004559982654951522
FI,0.008631100787477534,0.004336015620047634
