window,n,acc,bacc,precision,recall,f1,cm_TN_FP_FN_TP,pos_rate,roc_auc,pr_auc,model
train,1227,0.9258353708231459,0.8837495126612972,0.757847533632287,0.8203883495145631,0.7878787878787878,"967,54,37,169",0.16788916055419723,,,M0_persistence
train,1227,0.8410757946210269,0.9045053868756121,0.513715710723192,1.0,0.6787479406919276,"826,195,0,206",0.16788916055419723,0.9876620104028984,0.9495682869650544,gbt_thr_0.068
train,1227,0.9396903015484923,0.884324810056769,0.8333333333333334,0.8009708737864077,0.8168316831683168,"988,33,41,165",0.16788916055419723,0.9753668115211622,0.9010503911349378,logit_thr_0.500
train,1227,0.6911165444172779,0.8143976493633692,0.35213675213675216,1.0,0.5208596713021492,"642,379,0,206",0.16788916055419723,0.9837110010174681,0.9352929237241723,ensemble_avg_logit_gbt_thr_0.048
covid,273,0.8644688644688645,0.8327380952380952,0.9358974358974359,0.6952380952380952,0.7978142076502732,"163,5,32,73",0.38461538461538464,,,M0_persistence
covid,273,0.9194139194139194,0.9238095238095239,0.8608695652173913,0.9428571428571428,0.9,"152,16,6,99",0.38461538461538464,0.9673469387755103,0.9450064552957373,gbt_thr_0.068
covid,273,0.7326007326007326,0.6541666666666667,0.9705882352941176,0.3142857142857143,0.4748201438848921,"167,1,72,33",0.38461538461538464,0.9458049886621316,0.9140741654287059,logit_thr_0.500
covid,273,0.9230769230769231,0.9267857142857143,0.868421052631579,0.9428571428571428,0.9041095890410958,"153,15,6,99",0.38461538461538464,0.9667233560090702,0.9416418509279981,ensemble_avg_logit_gbt_thr_0.048
surge,352,0.8778409090909091,0.7991975710258079,0.8908450704225352,0.9547169811320755,0.9216757741347905,"56,31,12,253",0.7528409090909091,,,M0_persistence
surge,352,0.8295454545454546,0.6706137497289091,0.8233438485804416,0.9849056603773585,0.8969072164948454,"31,56,4,261",0.7528409090909091,0.9260030362177402,0.96880200203063,gbt_thr_0.068
surge,352,0.6761363636363636,0.7810453263934071,0.9934640522875817,0.5735849056603773,0.7272727272727273,"86,1,113,152",0.7528409090909091,0.9435697245716763,0.9823986173700984,logit_thr_0.500
surge,352,0.8465909090909091,0.7089568423335502,0.8414239482200647,0.9811320754716981,0.9059233449477352,"38,49,5,260",0.7528409090909091,0.948687920190848,0.9834798381869321,ensemble_avg_logit_gbt_thr_0.048
