feature,family
hicpInflation,headline_inflation
hicpIndex,hicp_index
employmentIndex,employment
hicp_nMonths_min,coverage
hicpInflation_CP01,coicop_level
hicpInflation_CP02,coicop_level
hicpInflation_CP03,coicop_level
hicpInflation_CP04,coicop_level
hicpInflation_CP05,coicop_level
hicpInflation_CP06,coicop_level
hicpInflation_CP07,coicop_level
hicpInflation_CP08,coicop_level
hicpInflation_CP09,coicop_level
hicpInflation_CP10,coicop_level
hicpInflation_CP11,coicop_level
hicpInflation_CP12,coicop_level
eu27_hicpInflation,eu27_ref
eu27_employmentIndex,eu27_ref
eu27_hicpInflation_CP01,eu27_ref
eu27_hicpInflation_CP02,eu27_ref
eu27_hicpInflation_CP03,eu27_ref
eu27_hicpInflation_CP04,eu27_ref
eu27_hicpInflation_CP05,eu27_ref
eu27_hicpInflation_CP06,eu27_ref
eu27_hicpInflation_CP07,eu27_ref
eu27_hicpInflation_CP08,eu27_ref
eu27_hicpInflation_CP09,eu27_ref
eu27_hicpInflation_CP10,eu27_ref
eu27_hicpInflation_CP11,eu27_ref
eu27_hicpInflation_CP12,eu27_ref
hicpInflation_vs_eu27,vs_eu27
employmentIndex_vs_eu27,vs_eu27
hicpInflation_CP01_vs_eu27,vs_eu27
hicpInflation_CP02_vs_eu27,vs_eu27
hicpInflation_CP03_vs_eu27,vs_eu27
hicpInflation_CP04_vs_eu27,vs_eu27
hicpInflation_CP05_vs_eu27,vs_eu27
hicpInflation_CP06_vs_eu27,vs_eu27
hicpInflation_CP07_vs_eu27,vs_eu27
hicpInflation_CP08_vs_eu27,vs_eu27
hicpInflation_CP09_vs_eu27,vs_eu27
hicpInflation_CP10_vs_eu27,vs_eu27
hicpInflation_CP11_vs_eu27,vs_eu27
hicpInflation_CP12_vs_eu27,vs_eu27
year,time_flags
quarter,time_flags
is_stable_pre_covid,time_flags
is_covid,time_flags
is_infl_surge,time_flags
hicpInflation_lag1,lags
hicpInflation_lag4,lags
hicpInflation_chg_qoq,changes
hicpInflation_chg_yoy,changes
hicpInflation_roll4_mean,rolling
hicpInflation_roll4_std,rolling
hicpIndex_lag1,lags
hicpIndex_lag4,lags
hicpIndex_chg_qoq,changes
hicpIndex_chg_yoy,changes
hicpIndex_roll4_mean,rolling
hicpIndex_roll4_std,rolling
employmentIndex_lag1,lags
employmentIndex_lag4,lags
employmentIndex_chg_qoq,changes
employmentIndex_chg_yoy,changes
employmentIndex_roll4_mean,rolling
employmentIndex_roll4_std,rolling
hicpInflation_CP01_lag1,lags
hicpInflation_CP01_lag4,lags
hicpInflation_CP01_chg_qoq,changes
hicpInflation_CP01_chg_yoy,changes
hicpInflation_CP01_roll4_mean,rolling
hicpInflation_CP01_roll4_std,rolling
hicpInflation_CP02_lag1,lags
hicpInflation_CP02_lag4,lags
hicpInflation_CP02_chg_qoq,changes
hicpInflation_CP02_chg_yoy,changes
hicpInflation_CP02_roll4_mean,rolling
hicpInflation_CP02_roll4_std,rolling
hicpInflation_CP03_lag1,lags
hicpInflation_CP03_lag4,lags
hicpInflation_CP03_chg_qoq,changes
hicpInflation_CP03_chg_yoy,changes
hicpInflation_CP03_roll4_mean,rolling
hicpInflation_CP03_roll4_std,rolling
hicpInflation_CP04_lag1,lags
hicpInflation_CP04_lag4,lags
hicpInflation_CP04_chg_qoq,changes
hicpInflation_CP04_chg_yoy,changes
hicpInflation_CP04_roll4_mean,rolling
hicpInflation_CP04_roll4_std,rolling
hicpInflation_CP05_lag1,lags
hicpInflation_CP05_lag4,lags
hicpInflation_CP05_chg_qoq,changes
hicpInflation_CP05_chg_yoy,changes
hicpInflation_CP05_roll4_mean,rolling
hicpInflation_CP05_roll4_std,rolling
hicpInflation_CP06_lag1,lags
hicpInflation_CP06_lag4,lags
hicpInflation_CP06_chg_qoq,changes
hicpInflation_CP06_chg_yoy,changes
hicpInflation_CP06_roll4_mean,rolling
hicpInflation_CP06_roll4_std,rolling
hicpInflation_CP07_lag1,lags
hicpInflation_CP07_lag4,lags
hicpInflation_CP07_chg_qoq,changes
hicpInflation_CP07_chg_yoy,changes
hicpInflation_CP07_roll4_mean,rolling
hicpInflation_CP07_roll4_std,rolling
hicpInflation_CP08_lag1,lags
hicpInflation_CP08_lag4,lags
hicpInflation_CP08_chg_qoq,changes
hicpInflation_CP08_chg_yoy,changes
hicpInflation_CP08_roll4_mean,rolling
hicpInflation_CP08_roll4_std,rolling
hicpInflation_CP09_lag1,lags
hicpInflation_CP09_lag4,lags
hicpInflation_CP09_chg_qoq,changes
hicpInflation_CP09_chg_yoy,changes
hicpInflation_CP09_roll4_mean,rolling
hicpInflation_CP09_roll4_std,rolling
hicpInflation_CP10_lag1,lags
hicpInflation_CP10_lag4,lags
hicpInflation_CP10_chg_qoq,changes
hicpInflation_CP10_chg_yoy,changes
hicpInflation_CP10_roll4_mean,rolling
hicpInflation_CP10_roll4_std,rolling
hicpInflation_CP11_lag1,lags
hicpInflation_CP11_lag4,lags
hicpInflation_CP11_chg_qoq,changes
hicpInflation_CP11_chg_yoy,changes
hicpInflation_CP11_roll4_mean,rolling
hicpInflation_CP11_roll4_std,rolling
hicpInflation_CP12_lag1,lags
hicpInflation_CP12_lag4,lags
hicpInflation_CP12_chg_qoq,changes
hicpInflation_CP12_chg_yoy,changes
hicpInflation_CP12_roll4_mean,rolling
hicpInflation_CP12_roll4_std,rolling
eu27_hicpInflation_lag1,eu27_ref
eu27_hicpInflation_lag4,eu27_ref
eu27_hicpInflation_chg_qoq,eu27_ref
eu27_hicpInflation_chg_yoy,eu27_ref
eu27_hicpInflation_roll4_mean,eu27_ref
eu27_hicpInflation_roll4_std,eu27_ref
eu27_employmentIndex_lag1,eu27_ref
eu27_employmentIndex_lag4,eu27_ref
eu27_employmentIndex_chg_qoq,eu27_ref
eu27_employmentIndex_chg_yoy,eu27_ref
eu27_employmentIndex_roll4_mean,eu27_ref
eu27_employmentIndex_roll4_std,eu27_ref
eu27_hicpInflation_CP01_lag1,eu27_ref
eu27_hicpInflation_CP01_lag4,eu27_ref
eu27_hicpInflation_CP01_chg_qoq,eu27_ref
eu27_hicpInflation_CP01_chg_yoy,eu27_ref
eu27_hicpInflation_CP01_roll4_mean,eu27_ref
eu27_hicpInflation_CP01_roll4_std,eu27_ref
eu27_hicpInflation_CP02_lag1,eu27_ref
eu27_hicpInflation_CP02_lag4,eu27_ref
eu27_hicpInflation_CP02_chg_qoq,eu27_ref
eu27_hicpInflation_CP02_chg_yoy,eu27_ref
eu27_hicpInflation_CP02_roll4_mean,eu27_ref
eu27_hicpInflation_CP02_roll4_std,eu27_ref
eu27_hicpInflation_CP03_lag1,eu27_ref
eu27_hicpInflation_CP03_lag4,eu27_ref
eu27_hicpInflation_CP03_chg_qoq,eu27_ref
eu27_hicpInflation_CP03_chg_yoy,eu27_ref
eu27_hicpInflation_CP03_roll4_mean,eu27_ref
eu27_hicpInflation_CP03_roll4_std,eu27_ref
eu27_hicpInflation_CP04_lag1,eu27_ref
eu27_hicpInflation_CP04_lag4,eu27_ref
eu27_hicpInflation_CP04_chg_qoq,eu27_ref
eu27_hicpInflation_CP04_chg_yoy,eu27_ref
eu27_hicpInflation_CP04_roll4_mean,eu27_ref
eu27_hicpInflation_CP04_roll4_std,eu27_ref
eu27_hicpInflation_CP05_lag1,eu27_ref
eu27_hicpInflation_CP05_lag4,eu27_ref
eu27_hicpInflation_CP05_chg_qoq,eu27_ref
eu27_hicpInflation_CP05_chg_yoy,eu27_ref
eu27_hicpInflation_CP05_roll4_mean,eu27_ref
eu27_hicpInflation_CP05_roll4_std,eu27_ref
eu27_hicpInflation_CP06_lag1,eu27_ref
eu27_hicpInflation_CP06_lag4,eu27_ref
eu27_hicpInflation_CP06_chg_qoq,eu27_ref
eu27_hicpInflation_CP06_chg_yoy,eu27_ref
eu27_hicpInflation_CP06_roll4_mean,eu27_ref
eu27_hicpInflation_CP06_roll4_std,eu27_ref
eu27_hicpInflation_CP07_lag1,eu27_ref
eu27_hicpInflation_CP07_lag4,eu27_ref
eu27_hicpInflation_CP07_chg_qoq,eu27_ref
eu27_hicpInflation_CP07_chg_yoy,eu27_ref
eu27_hicpInflation_CP07_roll4_mean,eu27_ref
eu27_hicpInflation_CP07_roll4_std,eu27_ref
eu27_hicpInflation_CP08_lag1,eu27_ref
eu27_hicpInflation_CP08_lag4,eu27_ref
eu27_hicpInflation_CP08_chg_qoq,eu27_ref
eu27_hicpInflation_CP08_chg_yoy,eu27_ref
eu27_hicpInflation_CP08_roll4_mean,eu27_ref
eu27_hicpInflation_CP08_roll4_std,eu27_ref
eu27_hicpInflation_CP09_lag1,eu27_ref
eu27_hicpInflation_CP09_lag4,eu27_ref
eu27_hicpInflation_CP09_chg_qoq,eu27_ref
eu27_hicpInflation_CP09_chg_yoy,eu27_ref
eu27_hicpInflation_CP09_roll4_mean,eu27_ref
eu27_hicpInflation_CP09_roll4_std,eu27_ref
eu27_hicpInflation_CP10_lag1,eu27_ref
eu27_hicpInflation_CP10_lag4,eu27_ref
eu27_hicpInflation_CP10_chg_qoq,eu27_ref
eu27_hicpInflation_CP10_chg_yoy,eu27_ref
eu27_hicpInflation_CP10_roll4_mean,eu27_ref
eu27_hicpInflation_CP10_roll4_std,eu27_ref
eu27_hicpInflation_CP11_lag1,eu27_ref
eu27_hicpInflation_CP11_lag4,eu27_ref
eu27_hicpInflation_CP11_chg_qoq,eu27_ref
eu27_hicpInflation_CP11_chg_yoy,eu27_ref
eu27_hicpInflation_CP11_roll4_mean,eu27_ref
eu27_hicpInflation_CP11_roll4_std,eu27_ref
eu27_hicpInflation_CP12_lag1,eu27_ref
eu27_hicpInflation_CP12_lag4,eu27_ref
eu27_hicpInflation_CP12_chg_qoq,eu27_ref
eu27_hicpInflation_CP12_chg_yoy,eu27_ref
eu27_hicpInflation_CP12_roll4_mean,eu27_ref
eu27_hicpInflation_CP12_roll4_std,eu27_ref
hicpInflation_vs_eu27_lag1,lags
hicpInflation_vs_eu27_lag4,lags
hicpInflation_vs_eu27_chg_qoq,changes
hicpInflation_vs_eu27_chg_yoy,changes
hicpInflation_vs_eu27_roll4_mean,rolling
hicpInflation_vs_eu27_roll4_std,rolling
employmentIndex_vs_eu27_lag1,lags
employmentIndex_vs_eu27_lag4,lags
employmentIndex_vs_eu27_chg_qoq,changes
employmentIndex_vs_eu27_chg_yoy,changes
employmentIndex_vs_eu27_roll4_mean,rolling
employmentIndex_vs_eu27_roll4_std,rolling
hicpInflation_CP01_vs_eu27_lag1,lags
hicpInflation_CP01_vs_eu27_lag4,lags
hicpInflation_CP01_vs_eu27_chg_qoq,changes
hicpInflation_CP01_vs_eu27_chg_yoy,changes
hicpInflation_CP01_vs_eu27_roll4_mean,rolling
hicpInflation_CP01_vs_eu27_roll4_std,rolling
hicpInflation_CP02_vs_eu27_lag1,lags
hicpInflation_CP02_vs_eu27_lag4,lags
hicpInflation_CP02_vs_eu27_chg_qoq,changes
hicpInflation_CP02_vs_eu27_chg_yoy,changes
hicpInflation_CP02_vs_eu27_roll4_mean,rolling
hicpInflation_CP02_vs_eu27_roll4_std,rolling
hicpInflation_CP03_vs_eu27_lag1,lags
hicpInflation_CP03_vs_eu27_lag4,lags
hicpInflation_CP03_vs_eu27_chg_qoq,changes
hicpInflation_CP03_vs_eu27_chg_yoy,changes
hicpInflation_CP03_vs_eu27_roll4_mean,rolling
hicpInflation_CP03_vs_eu27_roll4_std,rolling
hicpInflation_CP04_vs_eu27_lag1,lags
hicpInflation_CP04_vs_eu27_lag4,lags
hicpInflation_CP04_vs_eu27_chg_qoq,changes
hicpInflation_CP04_vs_eu27_chg_yoy,changes
hicpInflation_CP04_vs_eu27_roll4_mean,rolling
hicpInflation_CP04_vs_eu27_roll4_std,rolling
hicpInflation_CP05_vs_eu27_lag1,lags
hicpInflation_CP05_vs_eu27_lag4,lags
hicpInflation_CP05_vs_eu27_chg_qoq,changes
hicpInflation_CP05_vs_eu27_chg_yoy,changes
hicpInflation_CP05_vs_eu27_roll4_mean,rolling
hicpInflation_CP05_vs_eu27_roll4_std,rolling
hicpInflation_CP06_vs_eu27_lag1,lags
hicpInflation_CP06_vs_eu27_lag4,lags
hicpInflation_CP06_vs_eu27_chg_qoq,changes
hicpInflation_CP06_vs_eu27_chg_yoy,changes
hicpInflation_CP06_vs_eu27_roll4_mean,rolling
hicpInflation_CP06_vs_eu27_roll4_std,rolling
hicpInflation_CP07_vs_eu27_lag1,lags
hicpInflation_CP07_vs_eu27_lag4,lags
hicpInflation_CP07_vs_eu27_chg_qoq,changes
hicpInflation_CP07_vs_eu27_chg_yoy,changes
hicpInflation_CP07_vs_eu27_roll4_mean,rolling
hicpInflation_CP07_vs_eu27_roll4_std,rolling
hicpInflation_CP08_vs_eu27_lag1,lags
hicpInflation_CP08_vs_eu27_lag4,lags
hicpInflation_CP08_vs_eu27_chg_qoq,changes
hicpInflation_CP08_vs_eu27_chg_yoy,changes
hicpInflation_CP08_vs_eu27_roll4_mean,rolling
hicpInflation_CP08_vs_eu27_roll4_std,rolling
hicpInflation_CP09_vs_eu27_lag1,lags
hicpInflation_CP09_vs_eu27_lag4,lags
hicpInflation_CP09_vs_eu27_chg_qoq,changes
hicpInflation_CP09_vs_eu27_chg_yoy,changes
hicpInflation_CP09_vs_eu27_roll4_mean,rolling
hicpInflation_CP09_vs_eu27_roll4_std,rolling
hicpInflation_CP10_vs_eu27_lag1,lags
hicpInflation_CP10_vs_eu27_lag4,lags
hicpInflation_CP10_vs_eu27_chg_qoq,changes
hicpInflation_CP10_vs_eu27_chg_yoy,changes
hicpInflation_CP10_vs_eu27_roll4_mean,rolling
hicpInflation_CP10_vs_eu27_roll4_std,rolling
hicpInflation_CP11_vs_eu27_lag1,lags
hicpInflation_CP11_vs_eu27_lag4,lags
hicpInflation_CP11_vs_eu27_chg_qoq,changes
hicpInflation_CP11_vs_eu27_chg_yoy,changes
hicpInflation_CP11_vs_eu27_roll4_mean,rolling
hicpInflation_CP11_vs_eu27_roll4_std,rolling
hicpInflation_CP12_vs_eu27_lag1,lags
hicpInflation_CP12_vs_eu27_lag4,lags
hicpInflation_CP12_vs_eu27_chg_qoq,changes
hicpInflation_CP12_vs_eu27_chg_yoy,changes
hicpInflation_CP12_vs_eu27_roll4_mean,rolling
hicpInflation_CP12_vs_eu27_roll4_std,rolling
year_lag1,lags
year_lag4,lags
year_chg_qoq,changes
year_chg_yoy,changes
year_roll4_mean,rolling
year_roll4_std,rolling
quarter_lag1,lags
quarter_lag4,lags
quarter_chg_qoq,changes
quarter_chg_yoy,changes
quarter_roll4_mean,rolling
quarter_roll4_std,rolling
is_stable_pre_covid_lag1,lags
is_stable_pre_covid_lag4,lags
is_stable_pre_covid_chg_qoq,changes
is_stable_pre_covid_chg_yoy,changes
is_stable_pre_covid_roll4_mean,rolling
is_stable_pre_covid_roll4_std,rolling
is_covid_lag1,lags
is_covid_lag4,lags
is_covid_chg_qoq,changes
is_covid_chg_yoy,changes
is_covid_roll4_mean,rolling
is_covid_roll4_std,rolling
is_infl_surge_lag1,lags
is_infl_surge_lag4,lags
is_infl_surge_chg_qoq,changes
is_infl_surge_chg_yoy,changes
is_infl_surge_roll4_mean,rolling
is_infl_surge_roll4_std,rolling
