geo,timeQuarter,yProb,yPredClass,clsModel,yPredReg,regModel,regSourceKey,clusterIdLatest,clusterLabelLatest,geo_label,iso3,clusterId,clusterName,meanAbs,maxAbs,topPositiveCats,topNegativeCats,timeQuarterStr,riskPct,riskFlag
AT,2025Q1,0.0001906420602319063,0,logit_thr_0.010_scenarioFixedX_2025,2.2706355215864296,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Austria,AUT,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.01906420602319063,0
BE,2025Q1,0.1623211732879976,1,logit_thr_0.010_scenarioFixedX_2025,4.816233316079812,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Belgium,BEL,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,16.23211732879976,1
BG,2025Q1,0.0004297729197970347,0,logit_thr_0.010_scenarioFixedX_2025,3.0298851404857743,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Bulgaria,BGR,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.04297729197970347,0
CH,2025Q1,0.00014506058456167998,0,logit_thr_0.010_scenarioFixedX_2025,0.0828648232977248,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Switzerland,CHE,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.014506058456167998,0
CY,2025Q1,0.0009806451692190847,0,logit_thr_0.010_scenarioFixedX_2025,1.9261953891200057,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Cyprus,CYP,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.09806451692190847,0
CZ,2025Q1,0.0006562339210577358,0,logit_thr_0.010_scenarioFixedX_2025,3.528830468507821,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Czechia,CZE,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.06562339210577359,0
DE,2025Q1,0.0007149856804408928,0,logit_thr_0.010_scenarioFixedX_2025,2.3986992830085825,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Germany,DEU,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.07149856804408927,0
DK,2025Q1,0.0001623837233860934,0,logit_thr_0.010_scenarioFixedX_2025,1.0815067776587002,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Denmark,DNK,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.01623837233860934,0
EE,2025Q1,0.0016845746982880707,0,logit_thr_0.010_scenarioFixedX_2025,5.288571043753495,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Estonia,EST,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.16845746982880708,0
EL,2025Q1,0.0031476984687072067,0,logit_thr_0.010_scenarioFixedX_2025,2.3897044468337616,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Greece,GRC,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.3147698468707207,0
