geo,timeQuarter,hicpIndex,hicpInflation,employmentIndex,hicpIndex_nMonths,hicpInflation_nMonths,hicp_nMonths_min,inc_share_bottom20,inc_share_lowmid20,inc_share_mid20,inc_share_top20,inc_share_upmid20,year,quarter,inc_top_bottom_gap,inc_top_bottom_ratio
AT,2010Q1,89.41000000000001,1.3,98.6,3,3,3,8.600000000000001,14.0,17.9,37.099999999999994,22.4,2010,1,28.499999999999993,4.313953488372092
AT,2010Q2,90.24333333333334,1.7666666666666666,99.4,3,3,3,8.600000000000001,14.0,17.9,37.099999999999994,22.4,2010,2,28.499999999999993,4.313953488372092
AT,2010Q3,90.03666666666668,1.6666666666666667,99.5,3,3,3,8.600000000000001,14.0,17.9,37.099999999999994,22.4,2010,3,28.499999999999993,4.313953488372092
AT,2010Q4,90.88666666666667,2.0,99.1,3,3,3,8.600000000000001,14.0,17.9,37.099999999999994,22.4,2010,4,28.499999999999993,4.313953488372092
AT,2011Q1,92.10000000000001,3.0,101.7,3,3,3,8.8,14.0,18.0,36.400000000000006,22.799999999999997,2011,1,27.600000000000005,4.136363636363637
AT,2011Q2,93.57666666666667,3.7000000000000006,101.1,3,3,3,8.8,14.0,18.0,36.400000000000006,22.799999999999997,2011,2,27.600000000000005,4.136363636363637
AT,2011Q3,93.47666666666667,3.8000000000000003,100.4,3,3,3,8.8,14.0,18.0,36.400000000000006,22.799999999999997,2011,3,27.600000000000005,4.136363636363637
AT,2011Q4,94.22666666666667,3.6666666666666665,101.3,3,3,3,8.8,14.0,18.0,36.400000000000006,22.799999999999997,2011,4,27.600000000000005,4.136363636363637
AT,2012Q1,94.60333333333334,2.6999999999999997,101.7,3,3,3,8.7,14.1,18.0,36.5,22.7,2012,1,27.8,4.195402298850575
AT,2012Q2,95.69,2.2333333333333334,100.6,3,3,3,8.7,14.1,18.0,36.5,22.7,2012,2,27.8,4.195402298850575
AT,2012Q3,95.71666666666665,2.4,100.7,3,3,3,8.7,14.1,18.0,36.5,22.7,2012,3,27.8,4.195402298850575
AT,2012Q4,96.97333333333334,2.9,100.2,3,3,3,8.7,14.1,18.0,36.5,22.7,2012,4,27.8,4.195402298850575
AT,2013Q1,97.07000000000001,2.6,100.0,3,3,3,8.7,14.4,18.2,35.9,22.799999999999997,2013,1,27.2,4.126436781609195
AT,2013Q2,97.84333333333332,2.2333333333333334,100.7,3,3,3,8.7,14.4,18.2,35.9,22.799999999999997,2013,2,27.2,4.126436781609195
AT,2013Q3,97.61,1.9666666666666666,99.7,3,3,3,8.7,14.4,18.2,35.9,22.799999999999997,2013,3,27.2,4.126436781609195
AT,2013Q4,98.57,1.6666666666666667,100.2,3,3,3,8.7,14.4,18.2,35.9,22.799999999999997,2013,4,27.2,4.126436781609195
AT,2014Q1,98.50999999999999,1.5,100.6,3,3,3,8.9,14.1,17.8,36.7,22.4,2014,1,27.800000000000004,4.123595505617978
AT,2014Q2,99.40666666666668,1.5999999999999999,99.9,3,3,3,8.9,14.1,17.8,36.7,22.4,2014,2,27.800000000000004,4.123595505617978
AT,2014Q3,99.08333333333333,1.5333333333333334,100.5,3,3,3,8.9,14.1,17.8,36.7,22.4,2014,3,27.800000000000004,4.123595505617978
AT,2014Q4,99.80666666666667,1.2333333333333334,101.7,3,3,3,8.9,14.1,17.8,36.7,22.4,2014,4,27.800000000000004,4.123595505617978
AT,2015Q1,99.12666666666668,0.6333333333333333,99.3,3,3,3,9.0,14.1,18.1,36.3,22.5,2015,1,27.299999999999997,4.033333333333333
AT,2015Q2,100.37666666666668,0.9666666666666667,100.4,3,3,3,9.0,14.1,18.1,36.3,22.5,2015,2,27.299999999999997,4.033333333333333
AT,2015Q3,99.95666666666666,0.9,101.3,3,3,3,9.0,14.1,18.1,36.3,22.5,2015,3,27.299999999999997,4.033333333333333
AT,2015Q4,100.54,0.7666666666666667,99.0,3,3,3,9.0,14.1,18.1,36.3,22.5,2015,4,27.299999999999997,4.033333333333333
AT,2016Q1,100.14333333333333,1.0333333333333332,100.7,3,3,3,8.8,14.2,18.1,36.1,22.799999999999997,2016,1,27.3,4.1022727272727275
AT,2016Q2,101.00333333333333,0.6,102.6,3,3,3,8.8,14.2,18.1,36.1,22.799999999999997,2016,2,27.3,4.1022727272727275
AT,2016Q3,100.71666666666665,0.7666666666666667,102.6,3,3,3,8.8,14.2,18.1,36.1,22.799999999999997,2016,3,27.3,4.1022727272727275
AT,2016Q4,102.02,1.5,102.6,3,3,3,8.8,14.2,18.1,36.1,22.799999999999997,2016,4,27.3,4.1022727272727275
AT,2017Q1,102.32666666666667,2.1999999999999997,103.9,3,3,3,8.5,14.2,18.0,36.599999999999994,22.799999999999997,2017,1,28.099999999999994,4.305882352941175
AT,2017Q2,103.17999999999999,2.1333333333333333,102.6,3,3,3,8.5,14.2,18.0,36.599999999999994,22.799999999999997,2017,2,28.099999999999994,4.305882352941175
AT,2017Q3,102.94333333333333,2.1999999999999997,102.2,3,3,3,8.5,14.2,18.0,36.599999999999994,22.799999999999997,2017,3,28.099999999999994,4.305882352941175
AT,2017Q4,104.44333333333333,2.3666666666666667,104.1,3,3,3,8.5,14.2,18.0,36.599999999999994,22.799999999999997,2017,4,28.099999999999994,4.305882352941175
AT,2018Q1,104.34333333333332,1.9333333333333333,104.0,3,3,3,8.9,14.3,18.2,35.900000000000006,22.7,2018,1,27.000000000000007,4.03370786516854
AT,2018Q2,105.38333333333334,2.1333333333333333,105.6,3,3,3,8.9,14.3,18.2,35.900000000000006,22.7,2018,2,27.000000000000007,4.03370786516854
AT,2018Q3,105.25333333333333,2.233333333333333,105.3,3,3,3,8.9,14.3,18.2,35.900000000000006,22.7,2018,3,27.000000000000007,4.03370786516854
AT,2018Q4,106.66666666666667,2.1333333333333333,106.5,3,3,3,8.9,14.3,18.2,35.900000000000006,22.7,2018,4,27.000000000000007,4.03370786516854
AT,2019Q1,106.01333333333334,1.5999999999999999,107.2,3,3,3,8.7,14.2,18.0,36.5,22.6,2019,1,27.8,4.195402298850575
AT,2019Q2,107.13666666666667,1.6666666666666667,106.1,3,3,3,8.7,14.2,18.0,36.5,22.6,2019,2,27.8,4.195402298850575
AT,2019Q3,106.67333333333333,1.3666666666666665,106.2,3,3,3,8.7,14.2,18.0,36.5,22.6,2019,3,27.8,4.195402298850575
AT,2019Q4,108.11,1.3333333333333333,108.0,3,3,3,8.7,14.2,18.0,36.5,22.6,2019,4,27.8,4.195402298850575
AT,2020Q1,108.11,2.0,101.7,3,3,3,8.8,14.3,18.1,36.0,22.7,2020,1,27.2,4.090909090909091
AT,2020Q2,108.27,1.0666666666666667,88.6,3,3,3,8.8,14.3,18.1,36.0,22.7,2020,2,27.2,4.090909090909091
AT,2020Q3,108.21,1.4666666666666666,102.1,3,3,3,8.8,14.3,18.1,36.0,22.7,2020,3,27.2,4.090909090909091
AT,2020Q4,109.28333333333335,1.0666666666666667,97.9,3,3,3,8.8,14.3,18.1,36.0,22.7,2020,4,27.2,4.090909090909091
AT,2021Q1,109.71333333333332,1.5,98.6,3,3,3,8.7,14.4,18.4,35.7,22.9,2021,1,27.000000000000004,4.103448275862069
AT,2021Q2,111.05,2.566666666666667,103.0,3,3,3,8.7,14.4,18.4,35.7,22.9,2021,2,27.000000000000004,4.103448275862069
AT,2021Q3,111.54666666666667,3.1,105.6,3,3,3,8.7,14.4,18.4,35.7,22.9,2021,3,27.000000000000004,4.103448275862069
AT,2021Q4,113.53333333333335,3.9,101.9,3,3,3,8.7,14.4,18.4,35.7,22.9,2021,4,27.000000000000004,4.103448275862069
AT,2022Q1,115.77666666666669,5.533333333333334,104.1,3,3,3,8.5,14.2,18.1,36.3,22.9,2022,1,27.799999999999997,4.270588235294118
AT,2022Q2,119.77999999999999,7.833333333333333,105.3,3,3,3,8.5,14.2,18.1,36.3,22.9,2022,2,27.799999999999997,4.270588235294118
AT,2022Q3,122.58999999999999,9.9,105.0,3,3,3,8.5,14.2,18.1,36.3,22.9,2022,3,27.799999999999997,4.270588235294118
AT,2022Q4,126.12000000000002,11.1,105.6,3,3,3,8.5,14.2,18.1,36.3,22.9,2022,4,27.799999999999997,4.270588235294118
AT,2023Q1,128.04666666666665,10.6,106.1,3,3,3,8.5,14.2,18.0,36.8,22.4,2023,1,28.299999999999997,4.329411764705882
AT,2023Q2,130.12,8.633333333333333,105.8,3,3,3,8.5,14.2,18.0,36.8,22.4,2023,2,28.299999999999997,4.329411764705882
AT,2023Q3,130.83666666666667,6.766666666666667,106.5,3,3,3,8.5,14.2,18.0,36.8,22.4,2023,3,28.299999999999997,4.329411764705882
AT,2023Q4,132.59333333333333,5.166666666666667,104.8,3,3,3,8.5,14.2,18.0,36.8,22.4,2023,4,28.299999999999997,4.329411764705882
AT,2024Q1,133.32666666666668,4.133333333333333,105.5,3,3,3,8.5,14.0,18.1,37.2,22.3,2024,1,28.700000000000003,4.376470588235295
AT,2024Q2,134.36666666666667,3.266666666666667,105.7,3,3,3,8.5,14.0,18.1,37.2,22.3,2024,2,28.700000000000003,4.376470588235295
AT,2024Q3,133.95000000000002,2.3666666666666667,104.2,3,3,3,8.5,14.0,18.1,37.2,22.3,2024,3,28.700000000000003,4.376470588235295
AT,2024Q4,135.1833333333333,1.9333333333333333,107.4,3,3,3,8.5,14.0,18.1,37.2,22.3,2024,4,28.700000000000003,4.376470588235295
BE,2010Q1,90.74333333333334,1.1666666666666667,96.3,3,3,3,9.1,14.1,18.2,35.5,23.0,2010,1,26.4,3.9010989010989015
BE,2010Q2,92.37999999999998,2.4,97.3,3,3,3,9.1,14.1,18.2,35.5,23.0,2010,2,26.4,3.9010989010989015
BE,2010Q3,92.08666666666666,2.566666666666667,97.8,3,3,3,9.1,14.1,18.2,35.5,23.0,2010,3,26.4,3.9010989010989015
